,t_0_g,NPS_g
0,2.3332569241342432e-07,91927.0
1,2.3332569241342432e-07,91927.0
2,2.3332569241342432e-07,91927.0
3,9.490633233341006e-07,149289.0
4,9.490633233341006e-07,149289.0
5,9.490633233341006e-07,149289.0
6,1.584270145784121e-06,178993.0
7,1.584270145784121e-06,178993.0
8,1.584270145784121e-06,178993.0
9,1.584270145784121e-06,178993.0
10,1.584270145784121e-06,178993.0
11,1.584270145784121e-06,178993.0
12,2.0680553504694623e-06,191444.0
13,2.0680553504694623e-06,191444.0
14,2.0680553504694623e-06,191444.0
15,3.2879027832186128e-06,221092.0
16,3.2879027832186128e-06,221092.0
17,3.2879027832186128e-06,221092.0
18,3.2879027832186128e-06,221092.0
19,3.2879027832186128e-06,221092.0
20,3.2879027832186128e-06,221092.0
21,3.2879027832186128e-06,221092.0
22,3.2879027832186128e-06,221092.0
23,3.2879027832186128e-06,221092.0
24,3.2879027832186128e-06,221092.0
25,3.2879027832186128e-06,221092.0
26,3.2879027832186128e-06,221092.0
27,3.2879027832186128e-06,221092.0
28,3.2879027832186128e-06,221092.0
29,4.634173766267585e-06,273159.0
30,4.634173766267585e-06,273159.0
31,4.634173766267585e-06,273159.0
32,4.949780015236653e-06,285149.0
33,4.949780015236653e-06,285149.0
34,4.949780015236653e-06,285149.0
35,4.949780015236653e-06,285149.0
36,4.949780015236653e-06,285149.0
37,4.949780015236653e-06,285149.0
38,5.58711183174829e-06,308902.0
39,5.58711183174829e-06,308902.0
40,5.58711183174829e-06,308902.0
41,5.58711183174829e-06,308902.0
42,5.58711183174829e-06,308902.0
43,5.58711183174829e-06,308902.0
44,5.58711183174829e-06,308902.0
45,5.58711183174829e-06,308902.0
46,5.58711183174829e-06,308902.0
47,6.6249639754128265e-06,361942.0
48,6.6249639754128265e-06,361942.0
49,6.6249639754128265e-06,361942.0
50,7.1015820820607305e-06,386042.0
51,7.1015820820607305e-06,386042.0
52,7.1015820820607305e-06,386042.0
53,8.072170432229334e-06,428752.0
54,8.072170432229334e-06,428752.0
55,8.072170432229334e-06,428752.0
56,9.337863980679455e-06,487422.0
