,t_0_g,NPS_g
0,1.1018792528259437e-07,81615.0
1,1.1018792528259437e-07,81615.0
2,1.1018792528259437e-07,81615.0
3,9.28410907047322e-06,479663.0
4,9.28410907047322e-06,479663.0
5,9.28410907047322e-06,479663.0
6,1.408132263100893e-05,717029.0
7,1.408132263100893e-05,717029.0
8,1.408132263100893e-05,717029.0
9,1.751702685063359e-05,849955.0
10,1.751702685063359e-05,849955.0
11,1.751702685063359e-05,849955.0
12,1.751702685063359e-05,849955.0
13,1.751702685063359e-05,849955.0
14,1.751702685063359e-05,849955.0
15,1.751702685063359e-05,849955.0
16,1.751702685063359e-05,849955.0
17,1.751702685063359e-05,849955.0
18,2.06480621979594e-05,968606.0
19,2.06480621979594e-05,968606.0
20,2.06480621979594e-05,968606.0
21,2.5349651081999025e-05,1185081.0
22,2.5349651081999025e-05,1185081.0
23,2.5349651081999025e-05,1185081.0
24,2.591464836852815e-05,1200299.0
25,2.591464836852815e-05,1200299.0
26,2.591464836852815e-05,1200299.0
27,2.630669033492076e-05,1203023.0
28,2.630669033492076e-05,1203023.0
29,2.630669033492076e-05,1203023.0
30,2.767980312538981e-05,1262775.0
31,2.767980312538981e-05,1262775.0
32,2.767980312538981e-05,1262775.0
33,3.0063980812627466e-05,1325740.0
34,3.0063980812627466e-05,1325740.0
35,3.0063980812627466e-05,1325740.0
36,3.1447451743969894e-05,1379977.0
37,3.1447451743969894e-05,1379977.0
38,3.1447451743969894e-05,1379977.0
39,3.330173865449996e-05,1421476.0
40,3.330173865449996e-05,1421476.0
41,3.330173865449996e-05,1421476.0
42,3.3740678599496595e-05,1437081.0
43,3.3740678599496595e-05,1437081.0
44,3.3740678599496595e-05,1437081.0
45,3.453247076031566e-05,1484740.0
46,3.453247076031566e-05,1484740.0
47,3.453247076031566e-05,1484740.0
48,3.5891850596022524e-05,1555418.0
49,3.5891850596022524e-05,1555418.0
50,3.5891850596022524e-05,1555418.0
51,3.5891850596022524e-05,1555418.0
52,3.5891850596022524e-05,1555418.0
53,3.5891850596022524e-05,1555418.0
54,3.5891850596022524e-05,1555418.0
55,3.5891850596022524e-05,1555418.0
56,3.5891850596022524e-05,1555418.0
57,3.5891850596022524e-05,1555418.0
58,3.651630999524679e-05,1628403.0
59,3.651630999524679e-05,1628403.0
60,3.651630999524679e-05,1628403.0
61,3.651630999524679e-05,1628403.0
62,3.730361034904567e-05,1651237.0
63,3.730361034904567e-05,1651237.0
64,3.730361034904567e-05,1651237.0
65,3.730361034904567e-05,1651237.0
66,3.730361034904567e-05,1651237.0
67,3.730361034904567e-05,1651237.0
68,3.730361034904567e-05,1651237.0
69,3.898638425179781e-05,1718299.0
70,3.898638425179781e-05,1718299.0
71,3.898638425179781e-05,1718299.0
72,4.220133208549272e-05,1814595.0
73,4.220133208549272e-05,1814595.0
74,4.220133208549272e-05,1814595.0
75,4.2210075173679135e-05,1816717.0
76,4.2210075173679135e-05,1816717.0
77,4.2210075173679135e-05,1816717.0
78,4.2210075173679135e-05,1816717.0
79,4.2210075173679135e-05,1816717.0
80,4.2210075173679135e-05,1816717.0
81,4.624748130134152e-05,1968519.0
82,4.624748130134152e-05,1968519.0
83,4.624748130134152e-05,1968519.0
84,4.624748130134152e-05,1968519.0
85,4.624748130134152e-05,1968519.0
86,4.624748130134152e-05,1968519.0
87,5.188823622969285e-05,2207596.0
88,5.188823622969285e-05,2207596.0
89,5.188823622969285e-05,2207596.0
90,5.200652740182067e-05,2215313.0
91,5.200652740182067e-05,2215313.0
92,5.200652740182067e-05,2215313.0
93,5.200652740182067e-05,2215313.0
94,5.200652740182067e-05,2215313.0
95,5.200652740182067e-05,2215313.0
96,5.200652740182067e-05,2215313.0
97,5.200652740182067e-05,2215313.0
98,5.200652740182067e-05,2215313.0
99,5.200652740182067e-05,2215313.0
100,5.200652740182067e-05,2215313.0
101,5.2724956649212164e-05,2246932.0
102,5.2724956649212164e-05,2246932.0
103,5.2724956649212164e-05,2246932.0
104,5.4585756556007065e-05,2326317.0
105,5.4585756556007065e-05,2326317.0
106,5.4585756556007065e-05,2326317.0
107,5.4585756556007065e-05,2326317.0
108,5.4585756556007065e-05,2326317.0
109,5.4585756556007065e-05,2326317.0
110,5.4585756556007065e-05,2326317.0
111,5.4585756556007065e-05,2326317.0
112,5.4585756556007065e-05,2326317.0
113,5.486809522790113e-05,2337480.0
114,5.486809522790113e-05,2337480.0
115,5.486809522790113e-05,2337480.0
116,5.486809522790113e-05,2337480.0
117,5.621466754625512e-05,2403485.0
118,5.621466754625512e-05,2403485.0
119,5.621466754625512e-05,2403485.0
120,5.639144371513128e-05,2424171.0
121,5.639144371513128e-05,2424171.0
122,5.639144371513128e-05,2424171.0
123,5.917440807155721e-05,2560277.0
124,5.917440807155721e-05,2560277.0
125,5.917440807155721e-05,2560277.0
126,5.932351433782874e-05,2569532.0
127,5.932351433782874e-05,2569532.0
128,5.932351433782874e-05,2569532.0
129,6.529119346819887e-05,2858975.0
130,6.529119346819887e-05,2858975.0
131,6.529119346819887e-05,2858975.0
132,6.568439687730403e-05,2888223.0
133,6.568439687730403e-05,2888223.0
134,6.568439687730403e-05,2888223.0
135,6.568439687730403e-05,2888223.0
136,6.582721971428372e-05,2892775.0
137,7.075557999312924e-05,3070573.0
138,7.075557999312924e-05,3070573.0
139,7.075557999312924e-05,3070573.0
140,7.117605686723508e-05,3074996.0
141,7.117605686723508e-05,3074996.0
142,7.117605686723508e-05,3074996.0
143,7.117605686723508e-05,3074996.0
144,7.117605686723508e-05,3074996.0
145,7.117605686723508e-05,3074996.0
146,7.257140824969557e-05,3161587.0
147,7.257140824969557e-05,3161587.0
148,7.257140824969557e-05,3161587.0
149,7.537343294210708e-05,3335990.0
150,7.537343294210708e-05,3335990.0
151,7.537343294210708e-05,3335990.0
152,7.639853626350533e-05,3371947.0
153,7.723825038192862e-05,3430408.0
154,7.75601403771121e-05,3447032.0
155,7.75601403771121e-05,3447032.0
156,7.75601403771121e-05,3447032.0
157,7.875479519012525e-05,3517730.0
158,7.875479519012525e-05,3517730.0
159,7.875479519012525e-05,3517730.0
160,7.875479519012525e-05,3517730.0
161,7.875479519012525e-05,3517730.0
162,7.875479519012525e-05,3517730.0
163,8.07687037252974e-05,3585024.0
164,8.088036976164484e-05,3593908.0
