,t_0_g,NPS_g
0,2.3873068814610293e-06,139561.0
1,2.3873068814610293e-06,139561.0
2,2.3873068814610293e-06,139561.0
3,3.991672849902524e-06,180076.0
4,3.991672849902524e-06,180076.0
5,3.991672849902524e-06,180076.0
6,6.65518146192298e-06,221721.0
7,6.65518146192298e-06,221721.0
8,6.65518146192298e-06,221721.0
9,1.3760555003865782e-05,373437.0
10,1.3760555003865782e-05,373437.0
11,1.3760555003865782e-05,373437.0
12,1.3760555003865782e-05,373437.0
13,1.3760555003865782e-05,373437.0
14,1.3760555003865782e-05,373437.0
15,1.3760555003865782e-05,373437.0
16,1.3760555003865782e-05,373437.0
17,1.3760555003865782e-05,373437.0
18,1.3760555003865782e-05,373437.0
19,1.3760555003865782e-05,373437.0
20,1.3760555003865782e-05,373437.0
21,1.4814416979759561e-05,395014.0
22,1.4814416979759561e-05,395014.0
23,1.4814416979759561e-05,395014.0
24,1.7135462358278624e-05,440300.0
25,1.7135462358278624e-05,440300.0
26,1.7135462358278624e-05,440300.0
27,2.0364707908104562e-05,506312.0
28,2.2491064878368068e-05,552233.0
29,2.2491064878368068e-05,552233.0
30,2.2491064878368068e-05,552233.0
31,2.2491064878368068e-05,552233.0
32,3.1495236397332484e-05,730768.0
33,3.1495236397332484e-05,730768.0
34,3.1495236397332484e-05,730768.0
35,3.402668614280658e-05,775062.0
36,3.402668614280658e-05,775062.0
37,3.402668614280658e-05,775062.0
38,3.963465800339497e-05,875382.0
39,3.963465800339497e-05,875382.0
40,3.963465800339497e-05,875382.0
41,4.075949343664581e-05,898183.0
42,4.075949343664581e-05,898183.0
43,4.075949343664581e-05,898183.0
44,4.075949343664581e-05,898183.0
45,4.075949343664581e-05,898183.0
46,4.075949343664581e-05,898183.0
47,4.075949343664581e-05,898183.0
48,4.075949343664581e-05,898183.0
49,4.075949343664581e-05,898183.0
50,4.075949343664581e-05,898183.0
51,4.075949343664581e-05,898183.0
52,4.097069504600291e-05,924785.0
53,4.097069504600291e-05,924785.0
54,4.097069504600291e-05,924785.0
55,4.367311480702727e-05,992715.0
56,4.367311480702727e-05,992715.0
57,4.367311480702727e-05,992715.0
58,4.367311480702727e-05,992715.0
59,4.367311480702727e-05,992715.0
60,4.367311480702727e-05,992715.0
61,4.390602627030921e-05,1003754.0
62,4.390602627030921e-05,1003754.0
63,4.390602627030921e-05,1003754.0
64,4.390602627030921e-05,1003754.0
65,4.390602627030921e-05,1003754.0
66,4.5091402448435606e-05,1019873.0
67,4.735577734359622e-05,1049027.0
68,4.735577734359622e-05,1049027.0
69,4.735577734359622e-05,1049027.0
70,4.735577734359622e-05,1049027.0
71,5.1650801789463634e-05,1159878.0
72,5.1650801789463634e-05,1159878.0
73,5.1650801789463634e-05,1159878.0
74,5.454896257307233e-05,1199122.0
75,5.454896257307233e-05,1199122.0
76,5.454896257307233e-05,1199122.0
77,5.454896257307233e-05,1199122.0
78,5.454896257307233e-05,1199122.0
79,5.5814674704124444e-05,1226769.0
80,5.6963456789251094e-05,1269704.0
81,5.6963456789251094e-05,1269704.0
82,5.6963456789251094e-05,1269704.0
83,5.818018652500013e-05,1295591.0
84,5.818018652500013e-05,1295591.0
85,5.818018652500013e-05,1295591.0
86,5.818018652500013e-05,1295591.0
87,5.818018652500013e-05,1295591.0
88,5.818018652500013e-05,1295591.0
89,5.818018652500013e-05,1295591.0
90,5.818018652500013e-05,1295591.0
91,5.818018652500013e-05,1295591.0
92,5.8434115095703655e-05,1296643.0
93,5.8434115095703655e-05,1296643.0
94,5.8434115095703655e-05,1296643.0
95,5.9400342460924934e-05,1300709.0
96,5.9400342460924934e-05,1300709.0
97,5.9400342460924934e-05,1300709.0
98,6.682995318325244e-05,1440618.0
99,6.682995318325244e-05,1440618.0
100,6.682995318325244e-05,1440618.0
101,6.682995318325244e-05,1440618.0
102,6.682995318325244e-05,1440618.0
103,6.682995318325244e-05,1440618.0
104,6.779504081659678e-05,1479284.0
105,6.779504081659678e-05,1479284.0
106,6.779504081659678e-05,1479284.0
107,7.726987407213988e-05,1756690.0
108,7.726987407213988e-05,1756690.0
109,7.726987407213988e-05,1756690.0
110,7.726987407213988e-05,1756690.0
111,7.726987407213988e-05,1756690.0
112,7.726987407213988e-05,1756690.0
113,7.726987407213988e-05,1756690.0
114,7.726987407213988e-05,1756690.0
115,7.726987407213988e-05,1756690.0
116,7.850932929525285e-05,1772764.0
117,7.850932929525285e-05,1772764.0
118,7.850932929525285e-05,1772764.0
119,7.850932929525285e-05,1772764.0
120,7.850932929525285e-05,1772764.0
121,7.850932929525285e-05,1772764.0
122,7.850932929525285e-05,1772764.0
123,8.56784203106397e-05,1903802.0
124,8.56784203106397e-05,1903802.0
125,8.56784203106397e-05,1903802.0
126,8.604402176251713e-05,1917537.0
127,8.604402176251713e-05,1917537.0
128,8.604402176251713e-05,1917537.0
129,9.280077737849748e-05,2018362.0
130,9.280077737849748e-05,2018362.0
131,9.280077737849748e-05,2018362.0
132,0.00010076969171579696,2185407.0
133,0.00010076969171579696,2185407.0
134,0.00010076969171579696,2185407.0
135,0.00010995670199231988,2381734.0
136,0.00010995670199231988,2381734.0
137,0.00010995670199231988,2381734.0
138,0.00010995670199231988,2381734.0
139,0.00010995670199231988,2381734.0
140,0.00010995670199231988,2381734.0
141,0.0001124457316821156,2455747.0
142,0.0001124457316821156,2455747.0
143,0.0001124457316821156,2455747.0
144,0.00011503265949567085,2501849.0
145,0.00011503265949567085,2501849.0
146,0.00011503265949567085,2501849.0
147,0.00011532021561951112,2504794.0
148,0.00011532021561951112,2504794.0
149,0.00011532021561951112,2504794.0
150,0.00012286360963745623,2619776.0
151,0.00012286360963745623,2619776.0
152,0.00012286360963745623,2619776.0
153,0.00012308762984916032,2622996.0
154,0.00012308762984916032,2622996.0
155,0.00012308762984916032,2622996.0
156,0.00012308762984916032,2622996.0
157,0.00012308762984916032,2622996.0
158,0.00012308762984916032,2622996.0
159,0.00012578424945708527,2661541.0
160,0.00012578424945708527,2661541.0
161,0.00012578424945708527,2661541.0
162,0.00013459439501439048,2881225.0
163,0.00013459439501439048,2881225.0
164,0.00013459439501439048,2881225.0
165,0.00013908902452048496,2970116.0
166,0.00013908902452048496,2970116.0
167,0.00013908902452048496,2970116.0
168,0.00013908902452048496,2970116.0
169,0.00013908902452048496,2970116.0
170,0.00013908902452048496,2970116.0
171,0.0001458219825058426,3074450.0
172,0.0001458219825058426,3074450.0
173,0.0001458219825058426,3074450.0
174,0.00015549033951220493,3333309.0
175,0.00015549033951220493,3333309.0
176,0.00015549033951220493,3333309.0
177,0.00015936523143231902,3407913.0
178,0.00015936523143231902,3407913.0
179,0.00015936523143231902,3407913.0
180,0.00016079673784176202,3456173.0
181,0.00016079673784176202,3456173.0
182,0.00016079673784176202,3456173.0
183,0.0001626876237045579,3524433.0
184,0.0001626876237045579,3524433.0
185,0.0001626876237045579,3524433.0
186,0.0001626876237045579,3524433.0
187,0.0001626876237045579,3524433.0
188,0.0001626876237045579,3524433.0
189,0.0001626876237045579,3524433.0
190,0.0001629646299668383,3529598.0
191,0.0001629646299668383,3529598.0
192,0.0001629646299668383,3529598.0
193,0.0001630236917346,3534387.0
194,0.00016323058738091723,3536399.0
195,0.00016323058738091723,3536399.0
196,0.00016323058738091723,3536399.0
197,0.00016554687226702996,3576576.0
198,0.00016554687226702996,3576576.0
199,0.00016554687226702996,3576576.0
200,0.00016554687226702996,3576576.0
201,0.00016554687226702996,3576576.0
202,0.00016554687226702996,3576576.0
203,0.00016992733226223671,3679333.0
204,0.00017017711447070842,3692633.0
205,0.00017017711447070842,3692633.0
206,0.00017017711447070842,3692633.0
207,0.00017017711447070842,3692633.0
208,0.00017017711447070842,3692633.0
209,0.00017017711447070842,3692633.0
