,t_0_n,NPS_n
0,0.0035525709375765556,379.0
1,0.0035525709375765556,379.0
2,0.0035525709375765556,379.0
3,0.0035525709375765556,379.0
4,0.0035525709375765556,379.0
5,0.0035525709375765556,379.0
6,0.0035525709375765556,379.0
7,0.0035525709375765556,379.0
8,0.0035525709375765556,379.0
9,0.0035525709375765556,379.0
10,0.0035525709375765556,379.0
11,0.0035525709375765556,379.0
12,0.0035525709375765556,379.0
13,0.004287913799420636,432.0
14,0.004287913799420636,432.0
15,0.004287913799420636,432.0
16,0.004287913799420636,432.0
17,0.004287913799420636,432.0
18,0.004287913799420636,432.0
19,0.004287913799420636,432.0
20,0.004287913799420636,432.0
21,0.004287913799420636,432.0
22,0.004287913799420636,432.0
23,0.004287913799420636,432.0
24,0.004287913799420636,432.0
25,0.004287913799420636,432.0
26,0.004287913799420636,432.0
27,0.004287913799420636,432.0
28,0.004287913799420636,432.0
29,0.004287913799420636,432.0
30,0.004287913799420636,432.0
31,0.004287913799420636,432.0
32,0.005917034396719414,577.0
33,0.005917034396719414,577.0
34,0.005917034396719414,577.0
35,0.005917034396719414,577.0
36,0.005917034396719414,577.0
37,0.005917034396719414,577.0
38,0.005917034396719414,577.0
39,0.005917034396719414,577.0
40,0.005917034396719414,577.0
41,0.005917034396719414,577.0
42,0.005917034396719414,577.0
43,0.005917034396719414,577.0
44,0.005917034396719414,577.0
45,0.005917034396719414,577.0
46,0.005917034396719414,577.0
47,0.005917034396719414,577.0
48,0.005917034396719414,577.0
49,0.005917034396719414,577.0
50,0.005917034396719414,577.0
51,0.005917034396719414,577.0
52,0.006599447492314297,639.0
53,0.006599447492314297,639.0
54,0.006599447492314297,639.0
55,0.006599447492314297,639.0
56,0.006599447492314297,639.0
57,0.006599447492314297,639.0
58,0.006599447492314297,639.0
59,0.006599447492314297,639.0
60,0.006599447492314297,639.0
61,0.006599447492314297,639.0
62,0.006599447492314297,639.0
63,0.006599447492314297,639.0
64,0.006599447492314297,639.0
65,0.006599447492314297,639.0
66,0.006599447492314297,639.0
67,0.006599447492314297,639.0
68,0.006599447492314297,639.0
69,0.009598978765516028,951.0
70,0.009598978765516028,951.0
71,0.009598978765516028,951.0
72,0.009598978765516028,951.0
73,0.009598978765516028,951.0
74,0.009598978765516028,951.0
75,0.009598978765516028,951.0
76,0.009598978765516028,951.0
77,0.009598978765516028,951.0
78,0.009598978765516028,951.0
79,0.009598978765516028,951.0
80,0.009598978765516028,951.0
81,0.009598978765516028,951.0
82,0.009598978765516028,951.0
83,0.009598978765516028,951.0
84,0.009598978765516028,951.0
85,0.009598978765516028,951.0
86,0.009598978765516028,951.0
87,0.009598978765516028,951.0
88,0.009598978765516028,951.0
89,0.009745780247861314,965.0
90,0.009745780247861314,965.0
91,0.009745780247861314,965.0
92,0.009745780247861314,965.0
93,0.009745780247861314,965.0
94,0.009745780247861314,965.0
95,0.009745780247861314,965.0
96,0.009745780247861314,965.0
97,0.009745780247861314,965.0
98,0.0097828264174631,971.0
99,0.0097828264174631,971.0
100,0.0097828264174631,971.0
101,0.0097828264174631,971.0
102,0.0097828264174631,971.0
103,0.0097828264174631,971.0
104,0.0097828264174631,971.0
105,0.0097828264174631,971.0
106,0.0097828264174631,971.0
107,0.0097828264174631,971.0
108,0.0097828264174631,971.0
109,0.0097828264174631,971.0
110,0.0097828264174631,971.0
111,0.0097828264174631,971.0
112,0.009809806763317625,984.0
113,0.009809806763317625,984.0
114,0.009809806763317625,984.0
115,0.009809806763317625,984.0
116,0.009809806763317625,984.0
117,0.009809806763317625,984.0
118,0.009809806763317625,984.0
119,0.009809806763317625,984.0
120,0.009809806763317625,984.0
121,0.009809806763317625,984.0
122,0.00981640673879085,997.0
123,0.00981640673879085,997.0
124,0.00981640673879085,997.0
125,0.00981640673879085,997.0
126,0.00981640673879085,997.0
127,0.00981640673879085,997.0
128,0.00981640673879085,997.0
129,0.00981640673879085,997.0
130,0.00981640673879085,997.0
131,0.00981640673879085,997.0
132,0.00981640673879085,997.0
133,0.00981640673879085,997.0
134,0.00981640673879085,997.0
135,0.00981640673879085,997.0
136,0.00981640673879085,997.0
137,0.00981640673879085,997.0
138,0.00981640673879085,997.0
139,0.00981640673879085,997.0
140,0.00981640673879085,997.0
141,0.00986214578366359,1001.0
142,0.00986214578366359,1001.0
143,0.00986214578366359,1001.0
144,0.00986214578366359,1001.0
145,0.00986214578366359,1001.0
146,0.00986214578366359,1001.0
147,0.00986214578366359,1001.0
148,0.00986214578366359,1001.0
149,0.00986214578366359,1001.0
150,0.00986214578366359,1001.0
151,0.00986214578366359,1001.0
152,0.00986214578366359,1001.0
153,0.00986214578366359,1001.0
154,0.00986214578366359,1001.0
155,0.00986214578366359,1001.0
156,0.00986214578366359,1001.0
157,0.00986214578366359,1001.0
158,0.00986214578366359,1001.0
159,0.00986214578366359,1001.0
160,0.00986214578366359,1001.0
161,0.011405749462717463,1135.0
162,0.011405749462717463,1135.0
163,0.011405749462717463,1135.0
164,0.011405749462717463,1135.0
165,0.011405749462717463,1135.0
166,0.011405749462717463,1135.0
167,0.011405749462717463,1135.0
168,0.011405749462717463,1135.0
169,0.011405749462717463,1135.0
170,0.011405749462717463,1135.0
171,0.011405749462717463,1135.0
172,0.011405749462717463,1135.0
173,0.011405749462717463,1135.0
174,0.011405749462717463,1135.0
175,0.011405749462717463,1135.0
176,0.011405749462717463,1135.0
177,0.011405749462717463,1135.0
178,0.011405749462717463,1135.0
179,0.011405749462717463,1135.0
180,0.01349548860788067,1260.0
181,0.01349548860788067,1260.0
