,t_0_g,NPS_g
0,1.9500465756549933e-06,459290.0
1,1.9500465756549933e-06,459290.0
2,1.9500465756549933e-06,459290.0
3,1.9500465756549933e-06,459290.0
4,1.9500465756549933e-06,459290.0
5,1.9500465756549933e-06,459290.0
6,2.371723030440665e-06,529836.0
7,2.371723030440665e-06,529836.0
8,2.371723030440665e-06,529836.0
9,2.385527780238779e-06,539865.0
10,2.385527780238779e-06,539865.0
11,2.385527780238779e-06,539865.0
12,2.385527780238779e-06,539865.0
13,2.385527780238779e-06,539865.0
14,2.385527780238779e-06,539865.0
15,3.846706247625848e-06,838598.0
16,3.846706247625848e-06,838598.0
17,3.846706247625848e-06,838598.0
18,4.0230885729479655e-06,876663.0
19,4.0230885729479655e-06,876663.0
20,4.0230885729479655e-06,876663.0
21,4.2307931428908086e-06,968560.0
22,4.2307931428908086e-06,968560.0
23,4.2307931428908086e-06,968560.0
24,4.3954416847398014e-06,1019421.0
25,4.3954416847398014e-06,1019421.0
26,4.3954416847398014e-06,1019421.0
27,4.905795926919776e-06,1136456.0
28,4.905795926919776e-06,1136456.0
29,4.905795926919776e-06,1136456.0
30,4.905795926919776e-06,1136456.0
31,4.905795926919776e-06,1136456.0
32,4.905795926919776e-06,1136456.0
33,5.105201794792523e-06,1152945.0
34,5.105201794792523e-06,1152945.0
35,5.105201794792523e-06,1152945.0
36,5.105201794792523e-06,1152945.0
37,5.105201794792523e-06,1152945.0
38,5.105201794792523e-06,1152945.0
39,5.105201794792523e-06,1152945.0
40,5.174882886311767e-06,1159670.0
41,5.174882886311767e-06,1159670.0
42,5.174882886311767e-06,1159670.0
43,6.192352047364136e-06,1373019.0
44,6.192352047364136e-06,1373019.0
45,6.192352047364136e-06,1373019.0
46,6.192352047364136e-06,1373019.0
47,6.192352047364136e-06,1373019.0
48,6.192352047364136e-06,1373019.0
49,6.192352047364136e-06,1373019.0
50,6.192352047364136e-06,1373019.0
51,6.192352047364136e-06,1373019.0
52,6.192352047364136e-06,1373019.0
53,6.192352047364136e-06,1373019.0
54,6.192352047364136e-06,1373019.0
