,t_0_g,NPS_g
0,1.8404470114950587e-07,123334.0
1,1.8404470114950587e-07,123334.0
2,1.8404470114950587e-07,123334.0
3,5.612687204364285e-07,191444.0
4,5.612687204364285e-07,191444.0
5,5.612687204364285e-07,191444.0
6,8.755736884147593e-07,244864.0
7,8.755736884147593e-07,244864.0
8,8.755736884147593e-07,244864.0
9,9.51345834711561e-07,256203.0
10,9.51345834711561e-07,256203.0
11,9.51345834711561e-07,256203.0
12,9.636424610655152e-07,264709.0
13,9.636424610655152e-07,264709.0
14,9.636424610655152e-07,264709.0
15,1.3684667364315408e-06,334842.0
16,1.3684667364315408e-06,334842.0
17,1.3684667364315408e-06,334842.0
18,1.3684667364315408e-06,334842.0
19,1.5302913155019802e-06,352402.0
20,1.5302913155019802e-06,352402.0
21,1.5302913155019802e-06,352402.0
22,1.8158450439949286e-06,424236.0
23,1.8158450439949286e-06,424236.0
24,1.8158450439949286e-06,424236.0
25,1.8158450439949286e-06,424236.0
26,1.8158450439949286e-06,424236.0
27,1.8158450439949286e-06,424236.0
28,2.0096336018320257e-06,468496.0
29,2.0096336018320257e-06,468496.0
30,2.0096336018320257e-06,468496.0
31,2.0096336018320257e-06,468496.0
32,2.0096336018320257e-06,468496.0
33,2.0096336018320257e-06,468496.0
34,2.1587321827078708e-06,513462.0
35,2.1587321827078708e-06,513462.0
36,2.1587321827078708e-06,513462.0
37,2.3749152722799036e-06,534175.0
38,2.3749152722799036e-06,534175.0
39,2.3749152722799036e-06,534175.0
40,2.7944179943639643e-06,637416.0
41,2.7944179943639643e-06,637416.0
42,2.7944179943639643e-06,637416.0
43,2.9659363218475875e-06,663980.0
44,2.9659363218475875e-06,663980.0
45,2.9659363218475875e-06,663980.0
46,2.9659363218475875e-06,663980.0
47,2.9659363218475875e-06,663980.0
48,2.9659363218475875e-06,663980.0
49,3.2595821173694875e-06,728634.0
50,3.2595821173694875e-06,728634.0
51,3.2595821173694875e-06,728634.0
52,3.2595821173694875e-06,728634.0
53,3.2595821173694875e-06,728634.0
54,3.2595821173694875e-06,728634.0
55,3.5112115276447246e-06,756514.0
56,3.5112115276447246e-06,756514.0
57,3.5112115276447246e-06,756514.0
58,3.824379995863753e-06,818261.0
59,3.824379995863753e-06,818261.0
60,3.824379995863753e-06,818261.0
61,3.966053469059712e-06,853153.0
62,3.966053469059712e-06,853153.0
63,3.966053469059712e-06,853153.0
64,4.154239692141985e-06,932036.0
65,4.154239692141985e-06,932036.0
66,4.154239692141985e-06,932036.0
67,4.154239692141985e-06,932036.0
68,4.154239692141985e-06,932036.0
69,4.154239692141985e-06,932036.0
70,4.154239692141985e-06,932036.0
71,4.154239692141985e-06,932036.0
72,4.154239692141985e-06,932036.0
