,NPS,End_event_no,Particle_type,Start_x,Start_y,Start_z,End_x,End_y,End_z,Start_E,End_E,Start_T,End_T,Detector_no,Delta_ray_flag
10600,18499113.0,1.0,3.0,4.8956,14.518,-16.024,3.5745,13.485,-15.697,0.079163,0.073766,0.04898,0.060496,1.0,0.0
10601,18499113.0,3.0,3.0,3.9196,12.357,-15.077,6.0764,13.451,-15.534,0.31192,0.30822,0.040145,0.050619,1.0,0.0
10602,18509465.0,1.0,3.0,4.1704,-12.16,-7.4213,5.5331,-14.302,-7.4556,0.62692,0.62513,0.0357,0.045179,8.0,0.0
10603,18509465.0,3.0,3.0,5.735,-12.366,-8.2595,5.6119,-14.245,-8.1317,0.19744,0.19563,0.039478,0.048564,8.0,0.0
10604,18510507.0,1.0,3.0,-12.811,-3.1254,-12.806,-14.344,-1.2639,-13.128,0.31863,0.31247,0.035306,0.045606,13.0,0.0
10605,18511260.0,1.0,3.0,11.183,-6.3047,0.34623,10.947,-7.1711,0.3884,0.02523,0.018774,0.039202,0.049774,6.0,0.0
10606,18511260.0,3.0,3.0,10.947,-7.1713,0.38852,11.103,-6.952,-0.12856,0.015259,0.00092424,0.049777,0.067265,6.0,0.0
10607,18511260.0,5.0,3.0,11.049,-7.2176,0.2765,11.05,-7.2292,0.27711,0.0016395,0.00099373,0.052017,0.052567,6.0,1.0
10608,18511260.0,7.0,3.0,10.987,-7.1944,0.33665,11.004,-7.1836,0.33617,0.0022943,0.00099233,0.050748,0.051573,6.0,1.0
10609,18518566.0,1.0,3.0,10.953,-6.8733,14.16,13.007,-8.0397,16.426,0.39047,0.38787,0.041507,0.054758,6.0,0.0
10610,18518976.0,1.0,3.0,-14.035,-3.7096,-1.7444,-15.136,-2.2248,-2.4142,0.36165,0.35911,0.035769,0.043859,13.0,0.0
10611,18521308.0,1.0,3.0,-7.7945,-10.857,-14.466,-9.1698,-12.067,-13.049,0.92803,0.92579,0.034954,0.043217,11.0,0.0
10612,18521308.0,3.0,3.0,-7.7939,-10.762,-14.447,-9.8591,-11.791,-16.159,0.42561,0.42258,0.036002,0.047439,11.0,0.0
10613,18521308.0,5.0,3.0,-9.8604,-11.79,-16.174,-9.831,-11.419,-16.5,0.34732,0.34689,0.047512,0.049564,11.0,0.0
10614,18521308.0,7.0,3.0,-9.8309,-11.412,-16.5,-10.332,-10.851,-15.909,0.31402,0.31319,0.049596,0.053663,11.0,0.0
10615,18521308.0,9.0,3.0,-10.332,-10.856,-15.904,-9.7017,-11.268,-16.5,0.17258,0.16938,0.053789,0.05861,11.0,0.0
10616,18521308.0,11.0,3.0,-9.6976,-11.269,-16.5,-8.6309,-11.995,-15.824,0.1432,0.14126,0.058636,0.066418,11.0,0.0
10617,18521308.0,13.0,3.0,-11.748,-5.8673,-15.287,-13.366,-6.5217,-15.423,0.14686,0.14395,0.038361,0.047632,12.0,0.0
10618,18521308.0,15.0,3.0,-13.366,-6.5224,-15.426,-12.907,-7.4781,-16.5,0.049312,0.043438,0.047696,0.060264,12.0,0.0
10619,18521308.0,17.0,3.0,-12.906,-7.4787,-16.5,-13.317,-7.6742,-16.075,0.024357,0.017205,0.060274,0.067818,12.0,0.0
10620,18521308.0,19.0,3.0,-12.953,-7.3511,-16.376,-12.955,-7.3698,-16.368,0.002417,0.00096773,0.058705,0.059947,12.0,1.0
10621,18533013.0,1.0,3.0,11.065,7.5965,-6.9117,11.363,7.9957,-6.9805,0.8154,0.81504,0.03272,0.034539,3.0,0.0
10622,18533013.0,3.0,3.0,11.467,8.0795,-6.8677,13.477,6.9501,-9.5564,0.20212,0.19808,0.034898,0.051835,3.0,0.0
10623,18537564.0,1.0,3.0,-11.376,-6.0927,-15.396,-13.44,-6.7303,-12.943,0.15519,0.15099,0.037733,0.054724,12.0,0.0
10624,18537564.0,3.0,3.0,-12.542,-6.4527,-14.011,-12.541,-6.454,-14.011,0.0011099,0.00099057,0.047326,0.047411,12.0,1.0
10625,18539260.0,1.0,3.0,-12.817,3.1343,1.2165,-14.613,1.4074,-0.89899,0.25522,0.2497,0.030652,0.045284,14.0,0.0
10626,18539260.0,3.0,3.0,-14.615,1.4083,-0.90142,-13.899,3.7183,-2.7281,0.21757,0.21302,0.045307,0.05949,14.0,0.0
10627,18539260.0,5.0,3.0,-14.376,1.6352,-0.61994,-14.392,1.636,-0.61453,0.0021234,0.000814,0.043354,0.044072,14.0,1.0
10628,18543196.0,1.0,3.0,-15.045,2.968,12.037,-13.116,1.4383,12.036,0.2917,0.289,0.039828,0.050475,14.0,0.0
