,NPS,End_event_no,Particle_type,Start_x,Start_y,Start_z,End_x,End_y,End_z,Start_E,End_E,Start_T,End_T,Detector_no,Delta_ray_flag
16173,11981831.0,3.0,3.0,-11.753,-6.3103,4.089,-11.754,-6.3096,4.0923,0.0012032,0.00099541,0.031989,0.032171,12.0,1.0
16174,11984077.0,1.0,3.0,8.031,-11.541,2.0168,10.304,-10.53,5.839,0.15336,0.14385,0.032484,0.056839,7.0,0.0
16175,11984077.0,3.0,3.0,10.304,-10.532,5.8429,8.6205,-11.992,7.8221,0.059936,0.051745,0.056871,0.08053,7.0,0.0
16176,11984077.0,5.0,3.0,8.6551,-11.956,7.6798,8.6711,-11.937,7.6795,0.0031014,0.00096654,0.079341,0.080726,7.0,1.0
16177,11984077.0,7.0,3.0,9.8978,-10.951,6.1547,9.8995,-10.952,6.1562,0.0014264,0.00087742,0.061819,0.061938,7.0,1.0
16178,11985149.0,1.0,3.0,-1.0573,-14.804,10.158,1.2663,-14.003,9.6444,0.7988,0.78986,0.054319,0.063414,9.0,0.0
16179,11985149.0,3.0,3.0,-1.057,-14.804,10.158,0.31897,-15.329,9.4091,0.34646,0.34513,0.054321,0.061184,9.0,0.0
16180,11987391.0,1.0,3.0,14.589,1.3908,8.0348,12.635,2.2286,7.7631,0.13433,0.13033,0.05279,0.064496,4.0,0.0
16181,11987763.0,1.0,3.0,9.0821,9.5313,8.4043,7.8587,10.399,8.6217,0.23689,0.23258,0.04846,0.055383,2.0,0.0
16182,11987763.0,3.0,3.0,7.8582,10.401,8.6247,10.332,10.75,10.654,0.21097,0.20466,0.055407,0.070606,2.0,0.0
16183,11987763.0,5.0,3.0,8.417,10.48,9.083,8.2625,10.332,9.1883,0.0080854,0.00070631,0.05884,0.065446,2.0,1.0
16184,11987848.0,1.0,3.0,13.283,3.566,13.262,15.064,2.9219,12.906,0.45118,0.44922,0.031204,0.038792,4.0,0.0
16185,11987848.0,3.0,3.0,15.071,2.9039,12.912,13.892,1.1784,12.299,0.34305,0.33992,0.038903,0.047971,4.0,0.0
16186,11993958.0,1.0,3.0,1.2286,13.778,-14.41,-1.2562,13.913,-11.526,0.10011,0.089743,0.044124,0.067762,0.0,0.0
16187,11995316.0,1.0,3.0,-8.3089,-9.7796,-9.2827,-8.6979,-9.5849,-9.4165,0.68383,0.68363,0.027143,0.028823,11.0,0.0
16188,11997377.0,1.0,3.0,-12.706,2.9184,-10.87,-14.053,1.1894,-9.2673,0.25308,0.24846,0.038571,0.050754,14.0,0.0
16189,11997377.0,3.0,3.0,-14.058,1.1901,-9.2599,-14.919,3.187,-8.7032,0.17961,0.17514,0.050804,0.061935,14.0,0.0
16190,11997377.0,5.0,3.0,-14.039,1.2072,-9.2838,-14.044,1.2099,-9.2844,0.0014281,0.00093621,0.050628,0.050899,14.0,1.0
16191,11997995.0,1.0,3.0,13.03,6.0792,1.0576,13.203,7.8434,2.0381,0.21637,0.21405,0.038224,0.047719,3.0,0.0
16192,11998283.0,1.0,3.0,-11.131,-7.7186,-7.4308,-13.247,-7.785,-5.7604,0.31026,0.30772,0.044173,0.055662,12.0,0.0
16193,11999368.0,1.0,3.0,1.2594,-13.936,9.5761,0.099668,-15.366,6.9857,1.107,1.1045,0.036511,0.047683,9.0,0.0
16194,11999368.0,3.0,3.0,1.0238,-14.227,9.0499,0.97322,-14.243,9.2387,0.0079667,0.00097901,0.03878,0.044783,9.0,1.0
16195,11999368.0,5.0,3.0,1.2033,-13.694,9.6143,-0.76998,-15.11,11.357,1.1834,1.1805,0.035695,0.046153,9.0,0.0
16196,11999368.0,7.0,3.0,0.943,-13.249,10.16,-1.1975,-14.523,10.376,0.34575,0.34291,0.034197,0.044587,9.0,0.0
16197,11999368.0,9.0,3.0,0.17048,-13.709,10.238,0.17019,-13.709,10.238,0.0010701,0.00098138,0.037947,0.037974,9.0,1.0
16198,12004075.0,1.0,3.0,4.3337,-12.078,5.5937,4.0596,-14.265,5.2452,0.5738,0.57227,0.028372,0.036812,8.0,0.0
16199,12004075.0,3.0,3.0,4.0735,-14.275,5.2493,5.0138,-11.994,5.6517,0.30356,0.30102,0.037037,0.047745,8.0,0.0
16200,12004075.0,5.0,3.0,1.2236,-13.76,5.6104,-1.2695,-14.064,3.9126,0.43052,0.42782,0.032061,0.044101,9.0,0.0
16201,12004102.0,1.0,3.0,8.4011,-9.7175,10.344,10.149,-11.459,13.385,0.10826,0.10168,0.03077,0.054106,7.0,0.0
16202,12004744.0,1.0,3.0,-13.415,-1.269,3.103,-14.558,-3.5258,5.5382,0.46498,0.46195,0.038941,0.05269,13.0,0.0
