,t_0_g,NPS_g
0,5.910953282243421e-07,79316.0
1,5.910953282243421e-07,79316.0
2,5.910953282243421e-07,79316.0
3,5.910953282243421e-07,79316.0
4,2.4133465635471243e-06,217061.0
5,2.4133465635471243e-06,217061.0
6,2.4133465635471243e-06,217061.0
7,2.718075101751346e-06,238172.0
8,2.718075101751346e-06,238172.0
9,2.718075101751346e-06,238172.0
10,2.718075101751346e-06,238172.0
11,3.6723349978899116e-06,346386.0
12,4.360254661145979e-06,374290.0
13,4.360254661145979e-06,374290.0
14,4.360254661145979e-06,374290.0
15,4.670181678460479e-06,418625.0
16,4.670181678460479e-06,418625.0
17,4.670181678460479e-06,418625.0
18,5.116667504898322e-06,434686.0
19,5.3837050670616035e-06,448614.0
20,5.3837050670616035e-06,448614.0
21,5.3837050670616035e-06,448614.0
22,5.3837050670616035e-06,448614.0
23,5.3837050670616035e-06,448614.0
24,5.3837050670616035e-06,448614.0
25,5.3837050670616035e-06,448614.0
26,5.542092314391522e-06,487837.0
27,5.542092314391522e-06,487837.0
28,5.542092314391522e-06,487837.0
29,6.158146567864918e-06,543300.0
30,6.158146567864918e-06,543300.0
31,6.158146567864918e-06,543300.0
32,7.029786469061025e-06,640653.0
33,7.029786469061025e-06,640653.0
34,7.029786469061025e-06,640653.0
35,9.701279157384555e-06,852187.0
36,9.701279157384555e-06,852187.0
37,9.701279157384555e-06,852187.0
38,1.149061480105908e-05,1034618.0
39,1.149061480105908e-05,1034618.0
40,1.149061480105908e-05,1034618.0
41,1.1882078753930348e-05,1058892.0
42,1.1882078753930348e-05,1058892.0
43,1.1882078753930348e-05,1058892.0
44,1.1882078753930348e-05,1058892.0
45,1.1882078753930348e-05,1058892.0
46,1.1882078753930348e-05,1058892.0
47,1.1882078753930348e-05,1058892.0
48,1.1882078753930348e-05,1058892.0
49,1.1882078753930348e-05,1058892.0
50,1.1882078753930348e-05,1058892.0
51,1.1882078753930348e-05,1058892.0
52,1.1882078753930348e-05,1058892.0
53,1.20764668594778e-05,1099150.0
54,1.20764668594778e-05,1099150.0
55,1.20764668594778e-05,1099150.0
56,1.20764668594778e-05,1099150.0
57,1.20764668594778e-05,1099150.0
58,1.20764668594778e-05,1099150.0
59,1.20764668594778e-05,1099150.0
60,1.20764668594778e-05,1099150.0
61,1.20764668594778e-05,1099150.0
62,1.20764668594778e-05,1099150.0
63,1.20764668594778e-05,1099150.0
64,1.20764668594778e-05,1099150.0
65,1.3094344212707676e-05,1186367.0
66,1.565923889644976e-05,1380942.0
67,1.565923889644976e-05,1380942.0
68,1.565923889644976e-05,1380942.0
69,1.5881545680736266e-05,1396553.0
70,1.830112579788046e-05,1702698.0
71,1.830112579788046e-05,1702698.0
72,1.830112579788046e-05,1702698.0
73,1.830112579788046e-05,1702698.0
74,1.8650671677545478e-05,1747156.0
75,1.8650671677545478e-05,1747156.0
76,1.8650671677545478e-05,1747156.0
77,1.8650671677545478e-05,1747156.0
78,1.8650671677545478e-05,1747156.0
79,1.8650671677545478e-05,1747156.0
80,1.8650671677545478e-05,1747156.0
81,1.866002890050031e-05,1752093.0
82,1.866002890050031e-05,1752093.0
83,1.866002890050031e-05,1752093.0
84,1.866002890050031e-05,1752093.0
85,1.866002890050031e-05,1752093.0
86,1.866002890050031e-05,1752093.0
87,1.866002890050031e-05,1752093.0
88,1.866002890050031e-05,1752093.0
89,1.866002890050031e-05,1752093.0
90,1.9659792001125418e-05,1803564.0
91,1.9755443168609255e-05,1827753.0
92,1.9755443168609255e-05,1827753.0
93,1.9755443168609255e-05,1827753.0
94,1.9755443168609255e-05,1827753.0
95,1.9755443168609255e-05,1827753.0
96,1.9755443168609255e-05,1827753.0
97,2.0604806777864453e-05,1891797.0
98,2.0604806777864453e-05,1891797.0
99,2.0604806777864453e-05,1891797.0
100,2.061356104677554e-05,1894731.0
101,2.061356104677554e-05,1894731.0
102,2.061356104677554e-05,1894731.0
103,2.061356104677554e-05,1894731.0
104,2.061356104677554e-05,1894731.0
105,2.061356104677554e-05,1894731.0
106,2.061356104677554e-05,1894731.0
107,2.061356104677554e-05,1894731.0
108,2.061356104677554e-05,1894731.0
109,2.061356104677554e-05,1894731.0
110,2.061356104677554e-05,1894731.0
111,2.061356104677554e-05,1894731.0
112,2.061356104677554e-05,1894731.0
113,2.061356104677554e-05,1894731.0
114,2.061356104677554e-05,1894731.0
115,2.098591674983345e-05,1909382.0
116,2.201662162819614e-05,1990447.0
117,2.201662162819614e-05,1990447.0
118,2.201662162819614e-05,1990447.0
119,2.201662162819614e-05,1990447.0
120,2.201662162819614e-05,1990447.0
121,2.201662162819614e-05,1990447.0
122,2.258431300258565e-05,2066315.0
123,2.258431300258565e-05,2066315.0
124,2.258431300258565e-05,2066315.0
125,2.258431300258565e-05,2066315.0
126,2.258431300258565e-05,2066315.0
127,2.258431300258565e-05,2066315.0
128,2.3413443070954825e-05,2123082.0
129,2.3413443070954825e-05,2123082.0
130,2.3413443070954825e-05,2123082.0
131,2.3413443070954825e-05,2123082.0
132,2.3413443070954825e-05,2123082.0
133,2.3413443070954825e-05,2123082.0
134,2.3614002023724437e-05,2146568.0
135,2.3614002023724437e-05,2146568.0
136,2.3614002023724437e-05,2146568.0
137,2.3614002023724437e-05,2146568.0
138,2.3614002023724437e-05,2146568.0
139,2.3614002023724437e-05,2146568.0
140,2.3614002023724437e-05,2146568.0
141,2.3614002023724437e-05,2146568.0
142,2.3614002023724437e-05,2146568.0
143,2.3614002023724437e-05,2146568.0
144,2.3614002023724437e-05,2146568.0
145,2.3614002023724437e-05,2146568.0
146,2.3614002023724437e-05,2146568.0
147,2.3614002023724437e-05,2146568.0
148,2.3614002023724437e-05,2146568.0
149,2.3614002023724437e-05,2146568.0
150,2.3614002023724437e-05,2146568.0
151,2.3614002023724437e-05,2146568.0
152,2.3868913117293565e-05,2182338.0
153,2.3868913117293565e-05,2182338.0
154,2.3868913117293565e-05,2182338.0
155,2.403470364078562e-05,2191472.0
156,2.403470364078562e-05,2191472.0
157,2.403470364078562e-05,2191472.0
158,2.417127538267799e-05,2204134.0
159,2.417127538267799e-05,2204134.0
160,2.417127538267799e-05,2204134.0
161,2.417127538267799e-05,2204134.0
162,2.417127538267799e-05,2204134.0
163,2.417127538267799e-05,2204134.0
164,2.6604061754406386e-05,2450410.0
165,2.6604061754406386e-05,2450410.0
166,2.6604061754406386e-05,2450410.0
167,2.6604061754406386e-05,2450410.0
168,2.6604061754406386e-05,2450410.0
169,2.6604061754406386e-05,2450410.0
170,2.6604061754406386e-05,2450410.0
171,2.6604061754406386e-05,2450410.0
172,2.6604061754406386e-05,2450410.0
173,2.6862908991257913e-05,2475127.0
174,2.6862908991257913e-05,2475127.0
175,2.6862908991257913e-05,2475127.0
176,2.7821007075588596e-05,2524244.0
177,2.7821007075588596e-05,2524244.0
178,2.7821007075588596e-05,2524244.0
179,2.7930378145076926e-05,2546864.0
180,2.7930378145076926e-05,2546864.0
181,2.7930378145076926e-05,2546864.0
182,2.796287451884422e-05,2551178.0
183,2.796287451884422e-05,2551178.0
184,2.796287451884422e-05,2551178.0
185,2.857358228375386e-05,2610041.0
186,2.857358228375386e-05,2610041.0
187,2.857358228375386e-05,2610041.0
188,3.031822968666558e-05,2761550.0
189,3.031822968666558e-05,2761550.0
190,3.031822968666558e-05,2761550.0
191,3.031822968666558e-05,2761550.0
192,3.031822968666558e-05,2761550.0
193,3.031822968666558e-05,2761550.0
194,3.081956141918366e-05,2874072.0
195,3.081956141918366e-05,2874072.0
196,3.081956141918366e-05,2874072.0
197,3.251859127933059e-05,3010981.0
198,3.251859127933059e-05,3010981.0
199,3.251859127933059e-05,3010981.0
200,3.251859127933059e-05,3010981.0
201,3.251859127933059e-05,3010981.0
202,3.251859127933059e-05,3010981.0
203,3.251859127933059e-05,3010981.0
204,3.251859127933059e-05,3010981.0
205,3.375921759889047e-05,3120594.0
206,3.375921759889047e-05,3120594.0
207,3.375921759889047e-05,3120594.0
208,3.388773976206383e-05,3132388.0
209,3.388773976206383e-05,3132388.0
210,3.388773976206383e-05,3132388.0
211,3.390042586977001e-05,3135713.0
212,3.390042586977001e-05,3135713.0
213,3.390042586977001e-05,3135713.0
214,3.3953593139926435e-05,3150384.0
215,3.3953593139926435e-05,3150384.0
216,3.436182273226235e-05,3187795.0
217,3.436182273226235e-05,3187795.0
218,3.436182273226235e-05,3187795.0
219,3.436182273226235e-05,3187795.0
220,3.436182273226235e-05,3187795.0
221,3.436182273226235e-05,3187795.0
222,3.448529639480552e-05,3202111.0
223,3.448529639480552e-05,3202111.0
224,3.448529639480552e-05,3202111.0
225,3.448529639480552e-05,3202111.0
226,3.448529639480552e-05,3202111.0
227,3.448529639480552e-05,3202111.0
228,3.448529639480552e-05,3202111.0
229,3.448529639480552e-05,3202111.0
230,3.448529639480552e-05,3202111.0
231,3.448529639480552e-05,3202111.0
232,3.509720301944678e-05,3252612.0
233,3.509720301944678e-05,3252612.0
234,3.509720301944678e-05,3252612.0
235,3.771210211742581e-05,3473756.0
236,3.771210211742581e-05,3473756.0
237,3.771210211742581e-05,3473756.0
238,3.8033092773997685e-05,3524356.0
239,3.8033092773997685e-05,3524356.0
240,3.8033092773997685e-05,3524356.0
241,3.8033092773997685e-05,3524356.0
242,3.904685820712445e-05,3561311.0
243,3.904685820712445e-05,3561311.0
244,3.904685820712445e-05,3561311.0
245,3.930794700344999e-05,3581099.0
246,3.930794700344999e-05,3581099.0
247,3.963784155162897e-05,3603935.0
248,3.963784155162897e-05,3603935.0
249,3.963784155162897e-05,3603935.0
250,3.96947858187538e-05,3620981.0
251,3.96947858187538e-05,3620981.0
252,3.96947858187538e-05,3620981.0
253,3.977617634764011e-05,3631022.0
254,3.977617634764011e-05,3631022.0
255,3.977617634764011e-05,3631022.0
256,4.009941423476982e-05,3653414.0
257,4.009941423476982e-05,3653414.0
258,4.009941423476982e-05,3653414.0
