,t_0_g,NPS_g
0,1.735978751188684e-07,91927.0
1,1.735978751188684e-07,91927.0
2,1.735978751188684e-07,91927.0
3,3.9491531654714866e-07,149289.0
4,3.9491531654714866e-07,149289.0
5,3.9491531654714866e-07,149289.0
6,4.849279748878807e-07,178993.0
7,4.849279748878807e-07,178993.0
8,4.849279748878807e-07,178993.0
9,4.849279748878807e-07,178993.0
10,4.849279748878807e-07,178993.0
11,4.849279748878807e-07,178993.0
12,6.954705978701185e-07,191444.0
13,6.954705978701185e-07,191444.0
14,6.954705978701185e-07,191444.0
15,9.81272740054588e-07,221092.0
16,9.81272740054588e-07,221092.0
17,9.81272740054588e-07,221092.0
18,9.81272740054588e-07,221092.0
19,9.81272740054588e-07,221092.0
20,9.81272740054588e-07,221092.0
21,9.81272740054588e-07,221092.0
22,9.81272740054588e-07,221092.0
23,9.81272740054588e-07,221092.0
24,9.81272740054588e-07,221092.0
25,9.81272740054588e-07,221092.0
26,9.81272740054588e-07,221092.0
27,9.81272740054588e-07,221092.0
28,9.81272740054588e-07,221092.0
29,9.81272740054588e-07,221092.0
30,9.81272740054588e-07,221092.0
31,9.81272740054588e-07,221092.0
32,9.81272740054588e-07,221092.0
33,1.292578164117201e-06,273159.0
34,1.292578164117201e-06,273159.0
35,1.292578164117201e-06,273159.0
36,1.3403259364557354e-06,285149.0
37,1.3403259364557354e-06,285149.0
38,1.3403259364557354e-06,285149.0
39,1.3403259364557354e-06,285149.0
40,1.3403259364557354e-06,285149.0
41,1.3403259364557354e-06,285149.0
42,1.4513552849596438e-06,308902.0
43,1.4513552849596438e-06,308902.0
44,1.4513552849596438e-06,308902.0
45,1.4513552849596438e-06,308902.0
46,1.4513552849596438e-06,308902.0
47,1.4513552849596438e-06,308902.0
48,1.4513552849596438e-06,308902.0
49,1.4513552849596438e-06,308902.0
50,1.4513552849596438e-06,308902.0
51,1.810046364253312e-06,361942.0
52,1.810046364253312e-06,361942.0
53,1.810046364253312e-06,361942.0
54,1.9352510039393224e-06,386042.0
55,1.9352510039393224e-06,386042.0
56,1.9352510039393224e-06,386042.0
57,2.2505960717278134e-06,428752.0
58,2.2505960717278134e-06,428752.0
59,2.2505960717278134e-06,428752.0
60,2.7134916570102225e-06,487422.0
61,2.7134916570102225e-06,487422.0
62,2.7134916570102225e-06,487422.0
63,2.8904369487436065e-06,504334.0
64,2.8904369487436065e-06,504334.0
65,2.8904369487436065e-06,504334.0
